X,CH1,CH2,
Second,Volt,Volt,
-1.7120000e+00,2.40000e+00,1.17600e+00,
-1.7080001e+00,2.56000e+00,1.20000e+00,
-1.7040000e+00,2.48000e+00,1.17600e+00,
-1.7000000e+00,2.56000e+00,1.20000e+00,
-1.6960000e+00,2.48000e+00,1.19200e+00,
-1.6920000e+00,2.48000e+00,1.18400e+00,
-1.6880000e+00,2.48000e+00,1.19200e+00,
-1.6840000e+00,2.48000e+00,1.18400e+00,
-1.6800001e+00,2.56000e+00,1.19200e+00,
-1.6760000e+00,2.40000e+00,1.17600e+00,
-1.6720001e+00,2.48000e+00,1.20800e+00,
-1.6680000e+00,2.48000e+00,1.17600e+00,
-1.6640000e+00,2.48000e+00,1.19200e+00,
-1.6600000e+00,2.48000e+00,1.18400e+00,
-1.6560000e+00,2.48000e+00,1.20000e+00,
-1.6520001e+00,2.48000e+00,1.17600e+00,
-1.6480000e+00,2.48000e+00,1.17600e+00,
-1.6440001e+00,2.56000e+00,1.20000e+00,
-1.6400000e+00,2.48000e+00,1.19200e+00,
-1.6360000e+00,2.56000e+00,1.18400e+00,
-1.6320000e+00,2.48000e+00,1.14400e+00,
-1.6280000e+00,2.48000e+00,1.19200e+00,
-1.6240000e+00,2.48000e+00,1.19200e+00,
-1.6200000e+00,2.48000e+00,1.18400e+00,
-1.6160001e+00,2.48000e+00,1.19200e+00,
-1.6120000e+00,2.48000e+00,1.17600e+00,
-1.6080000e+00,2.48000e+00,1.19200e+00,
-1.6040000e+00,2.48000e+00,1.17600e+00,
-1.6000000e+00,2.48000e+00,1.19200e+00,
-1.5960000e+00,2.48000e+00,1.17600e+00,
-1.5920000e+00,2.48000e+00,1.19200e+00,
-1.5880001e+00,2.48000e+00,1.17600e+00,
-1.5840000e+00,2.48000e+00,1.19200e+00,
-1.5800000e+00,2.56000e+00,1.17600e+00,
-1.5760000e+00,2.48000e+00,1.19200e+00,
-1.5720000e+00,2.48000e+00,1.18400e+00,
-1.5680000e+00,2.48000e+00,1.19200e+00,
-1.5640000e+00,2.56000e+00,1.17600e+00,
-1.5600001e+00,2.48000e+00,1.19200e+00,
-1.5560000e+00,2.48000e+00,1.18400e+00,
-1.5520000e+00,2.48000e+00,1.19200e+00,
-1.5480000e+00,2.48000e+00,1.18400e+00,
-1.5440000e+00,2.48000e+00,1.19200e+00,
-1.5400000e+00,2.56000e+00,1.17600e+00,
-1.5360000e+00,2.48000e+00,1.19200e+00,
-1.5320001e+00,2.56000e+00,1.15200e+00,
-1.5280000e+00,2.56000e+00,1.17600e+00,
-1.5240000e+00,2.48000e+00,1.19200e+00,
-1.5200000e+00,2.48000e+00,1.18400e+00,
-1.5160000e+00,2.48000e+00,1.20800e+00,
-1.5120000e+00,2.48000e+00,1.18400e+00,
-1.5080000e+00,2.48000e+00,1.20000e+00,
-1.5039999e+00,2.48000e+00,1.17600e+00,
-1.5000000e+00,2.56000e+00,1.20800e+00,
-1.4960001e+00,2.48000e+00,1.19200e+00,
-1.4920000e+00,2.56000e+00,1.18400e+00,
-1.4880000e+00,2.48000e+00,1.19200e+00,
-1.4840000e+00,2.48000e+00,1.17600e+00,
-1.4800000e+00,2.48000e+00,1.19200e+00,
-1.4760000e+00,2.56000e+00,1.18400e+00,
-1.4720000e+00,2.40000e+00,1.22400e+00,
-1.4680001e+00,2.56000e+00,1.17600e+00,
-1.4640000e+00,2.48000e+00,1.20000e+00,
-1.4600000e+00,2.48000e+00,1.17600e+00,
-1.4560000e+00,2.48000e+00,1.20800e+00,
-1.4520000e+00,2.48000e+00,1.16800e+00,
-1.4480001e+00,2.48000e+00,1.18400e+00,
-1.4440000e+00,2.48000e+00,1.21600e+00,
-1.4400001e+00,2.48000e+00,1.15200e+00,
-1.4360000e+00,2.56000e+00,1.20800e+00,
-1.4320000e+00,2.48000e+00,1.18400e+00,
-1.4280000e+00,2.56000e+00,1.20800e+00,
-1.4240000e+00,2.48000e+00,1.19200e+00,
-1.4200001e+00,2.48000e+00,1.17600e+00,
-1.4160000e+00,2.48000e+00,1.17600e+00,
-1.4120001e+00,2.56000e+00,1.20800e+00,
-1.4080000e+00,2.48000e+00,1.18400e+00,
-1.4040000e+00,2.56000e+00,1.22400e+00,
-1.4000000e+00,2.48000e+00,1.19200e+00,
-1.3960000e+00,2.48000e+00,1.17600e+00,
-1.3920000e+00,2.48000e+00,1.19200e+00,
-1.3880000e+00,2.56000e+00,1.17600e+00,
-1.3840001e+00,2.48000e+00,1.18400e+00,
-1.3800000e+00,2.48000e+00,1.20800e+00,
-1.3760000e+00,2.48000e+00,1.19200e+00,
-1.3720000e+00,2.56000e+00,1.17600e+00,
-1.3680000e+00,2.48000e+00,1.19200e+00,
-1.3640000e+00,2.48000e+00,1.18400e+00,
-1.3600000e+00,2.48000e+00,1.18400e+00,
-1.3560001e+00,2.56000e+00,1.19200e+00,
-1.3520000e+00,2.48000e+00,1.21600e+00,
-1.3480000e+00,2.48000e+00,1.18400e+00,
-1.3440000e+00,2.48000e+00,1.18400e+00,
-1.3400000e+00,2.56000e+00,1.19200e+00,
-1.3360000e+00,2.48000e+00,1.19200e+00,
-1.3320000e+00,2.48000e+00,1.18400e+00,
-1.3280001e+00,2.48000e+00,1.19200e+00,
-1.3240000e+00,2.56000e+00,1.18400e+00,
-1.3200001e+00,2.48000e+00,1.19200e+00,
-1.3160000e+00,2.56000e+00,1.18400e+00,
-1.3120000e+00,2.48000e+00,1.18400e+00,
-1.3080000e+00,2.40000e+00,1.20000e+00,
-1.3040000e+00,2.48000e+00,1.18400e+00,
-1.3000000e+00,2.56000e+00,1.20800e+00,
-1.2960000e+00,2.48000e+00,1.18400e+00,
-1.2920001e+00,2.56000e+00,1.20000e+00,
-1.2880000e+00,2.48000e+00,1.19200e+00,
-1.2840000e+00,2.56000e+00,1.18400e+00,
-1.2800000e+00,2.48000e+00,1.18400e+00,
-1.2760000e+00,2.56000e+00,1.20000e+00,
