X,CH1,CH2,
Second,Volt,Volt,
-1.2399999e+00,2.48000e+00,1.11200e+00,
-1.2299999e+00,2.56000e+00,1.06400e+00,
-1.2199999e+00,2.48000e+00,1.09600e+00,
-1.2099999e+00,2.48000e+00,1.12000e+00,
-1.1999999e+00,2.48000e+00,1.09600e+00,
-1.1899999e+00,2.48000e+00,1.12000e+00,
-1.1799999e+00,2.48000e+00,1.10400e+00,
-1.1700000e+00,2.48000e+00,1.11200e+00,
-1.1600000e+00,2.48000e+00,1.11200e+00,
-1.1500000e+00,2.56000e+00,1.08000e+00,
-1.1400000e+00,2.48000e+00,1.11200e+00,
-1.1300000e+00,2.48000e+00,1.09600e+00,
-1.1199999e+00,2.48000e+00,1.11200e+00,
-1.1099999e+00,2.48000e+00,1.09600e+00,
-1.0999999e+00,2.48000e+00,1.09600e+00,
-1.0899999e+00,2.56000e+00,1.12800e+00,
-1.0799999e+00,2.48000e+00,1.08000e+00,
-1.0699999e+00,2.56000e+00,1.12000e+00,
-1.0599999e+00,2.48000e+00,1.11200e+00,
-1.0500000e+00,2.48000e+00,1.09600e+00,
-1.0400000e+00,2.48000e+00,1.09600e+00,
-1.0300000e+00,2.56000e+00,1.12000e+00,
-1.0200000e+00,2.48000e+00,1.11200e+00,
-1.0100000e+00,2.48000e+00,1.09600e+00,
-1.0000000e+00,2.48000e+00,1.11200e+00,
-9.8999989e-01,2.56000e+00,1.09600e+00,
-9.7999990e-01,2.48000e+00,1.11200e+00,
-9.6999991e-01,2.48000e+00,1.09600e+00,
-9.5999992e-01,2.48000e+00,1.11200e+00,
-9.4999993e-01,2.48000e+00,1.09600e+00,
-9.3999994e-01,2.48000e+00,1.11200e+00,
-9.2999995e-01,2.56000e+00,1.09600e+00,
-9.1999996e-01,2.48000e+00,1.09600e+00,
-9.0999997e-01,2.48000e+00,1.11200e+00,
-8.9999998e-01,2.48000e+00,1.11200e+00,
-8.8999999e-01,2.48000e+00,1.10400e+00,
-8.8000000e-01,2.48000e+00,1.11200e+00,
-8.6999989e-01,2.56000e+00,1.07200e+00,
-8.5999990e-01,2.48000e+00,1.09600e+00,
-8.4999990e-01,2.56000e+00,1.12000e+00,
-8.3999991e-01,2.48000e+00,1.11200e+00,
-8.2999992e-01,2.48000e+00,1.09600e+00,
-8.1999993e-01,2.48000e+00,1.11200e+00,
-8.0999994e-01,2.48000e+00,1.09600e+00,
