X,CH1,CH2,
Second,Volt,Volt,
-7.5200003e-01,-8.80000e-01,0.00000e+00,
-7.4800003e-01,-7.60000e-01,0.00000e+00,
-7.4400002e-01,-8.40000e-01,0.00000e+00,
-7.4000001e-01,-9.60000e-01,0.00000e+00,
-7.3600006e-01,-9.40000e-01,0.00000e+00,
-7.3200005e-01,-7.80000e-01,4.00000e-02,
-7.2800004e-01,-8.20000e-01,0.00000e+00,
-7.2400004e-01,-9.40000e-01,0.00000e+00,
-7.2000003e-01,-9.40000e-01,0.00000e+00,
-7.1600002e-01,-7.80000e-01,-4.00000e-02,
-7.1200001e-01,-7.60000e-01,0.00000e+00,
-7.0800000e-01,-9.40000e-01,0.00000e+00,
-7.0400006e-01,-1.00000e+00,0.00000e+00,
-7.0000005e-01,-8.80000e-01,0.00000e+00,
-6.9600004e-01,-7.40000e-01,0.00000e+00,
-6.9200003e-01,-9.20000e-01,0.00000e+00,
-6.8800002e-01,-8.60000e-01,0.00000e+00,
-6.8400002e-01,-9.40000e-01,0.00000e+00,
-6.8000001e-01,-7.80000e-01,0.00000e+00,
-6.7600006e-01,-9.00000e-01,0.00000e+00,
-6.7200005e-01,-8.60000e-01,0.00000e+00,
-6.6800004e-01,-9.40000e-01,0.00000e+00,
-6.6400003e-01,-9.40000e-01,0.00000e+00,
-6.6000003e-01,-7.80000e-01,0.00000e+00,
-6.5600002e-01,-8.00000e-01,0.00000e+00,
-6.5200001e-01,-9.20000e-01,0.00000e+00,
-6.4800000e-01,-9.20000e-01,0.00000e+00,
-6.4400005e-01,-7.60000e-01,4.00000e-02,
-6.4000005e-01,-7.80000e-01,0.00000e+00,
-6.3600004e-01,-9.60000e-01,0.00000e+00,
-6.3200003e-01,-9.80000e-01,0.00000e+00,
-6.2800002e-01,-8.40000e-01,0.00000e+00,
-6.2400001e-01,-7.60000e-01,0.00000e+00,
-6.2000000e-01,-9.20000e-01,0.00000e+00,
-6.1600006e-01,-9.40000e-01,0.00000e+00,
-6.1200005e-01,-8.60000e-01,0.00000e+00,
-6.0800004e-01,-9.20000e-01,4.00000e-02,
-6.0400003e-01,-7.60000e-01,-4.00000e-02,
-6.0000002e-01,-8.80000e-01,0.00000e+00,
-5.9600002e-01,-9.80000e-01,0.00000e+00,
-5.9200001e-01,-1.00000e+00,0.00000e+00,
-5.8800000e-01,-7.40000e-01,0.00000e+00,
-5.8400005e-01,-8.20000e-01,0.00000e+00,
-5.8000004e-01,-9.40000e-01,0.00000e+00,
-5.7600003e-01,-9.20000e-01,0.00000e+00,
-5.7200003e-01,-7.80000e-01,0.00000e+00,
-5.6800002e-01,-8.00000e-01,0.00000e+00,
-5.6400001e-01,-9.60000e-01,0.00000e+00,
-5.6000000e-01,-9.40000e-01,0.00000e+00,
-5.5600005e-01,-7.80000e-01,0.00000e+00,
-5.5200005e-01,-7.60000e-01,4.00000e-02,
-5.4800004e-01,-9.20000e-01,-4.00000e-02,
-5.4400003e-01,-9.20000e-01,0.00000e+00,
-5.4000002e-01,-8.40000e-01,-4.00000e-02,
-5.3600001e-01,-7.80000e-01,0.00000e+00,
-5.3200001e-01,-1.00000e+00,0.00000e+00,
-5.2800000e-01,-8.40000e-01,0.00000e+00,
-5.2400005e-01,-9.60000e-01,0.00000e+00,
-5.2000004e-01,-9.40000e-01,0.00000e+00,
-5.1600003e-01,-7.80000e-01,0.00000e+00,
-5.1200002e-01,-8.60000e-01,0.00000e+00,
-5.0800002e-01,-9.20000e-01,0.00000e+00,
-5.0400001e-01,-9.20000e-01,0.00000e+00,
-5.0000000e-01,-7.60000e-01,4.00000e-02,
-4.9600002e-01,-8.60000e-01,0.00000e+00,
-4.9200001e-01,-9.40000e-01,0.00000e+00,
-4.8800004e-01,-9.80000e-01,0.00000e+00,
-4.8400003e-01,-8.00000e-01,0.00000e+00,
-4.8000002e-01,-7.60000e-01,0.00000e+00,
-4.7600001e-01,-9.20000e-01,-4.00000e-02,
-4.7200003e-01,-9.40000e-01,0.00000e+00,
-4.6800002e-01,-8.20000e-01,0.00000e+00,
-4.6400002e-01,-8.00000e-01,0.00000e+00,
