X,CH1,
Second,Volt,
-1.3200001e-01,-3.60000e-01,
-1.2800001e-01,-4.00000e-01,
-1.2400006e-01,-3.60000e-01,
-1.2000005e-01,-3.60000e-01,
-1.1600004e-01,-4.40000e-01,
-1.1200003e-01,-4.00000e-01,
-1.0800003e-01,-3.60000e-01,
-1.0400002e-01,-4.00000e-01,
-1.0000001e-01,-3.60000e-01,
-9.6000001e-02,-4.00000e-01,
-9.2000052e-02,-3.60000e-01,
-8.8000044e-02,-4.00000e-01,
-8.4000036e-02,-3.60000e-01,
-8.0000028e-02,-3.60000e-01,
-7.6000020e-02,-4.00000e-01,
-7.2000012e-02,-4.40000e-01,
-6.8000004e-02,-3.60000e-01,
-6.4000025e-02,-4.00000e-01,
-6.0000014e-02,-3.60000e-01,
-5.6000035e-02,-3.60000e-01,
-5.2000027e-02,-4.40000e-01,
-4.8000019e-02,-4.00000e-01,
-4.4000011e-02,-3.60000e-01,
-4.0000033e-02,-4.00000e-01,
-3.6000025e-02,-3.60000e-01,
-3.2000016e-02,-4.00000e-01,
-2.8000008e-02,-3.60000e-01,
-2.4000030e-02,-3.60000e-01,
-2.0000022e-02,-4.00000e-01,
-1.6000014e-02,-4.40000e-01,
-1.2000035e-02,-3.60000e-01,
-8.0000274e-03,-4.00000e-01,
-4.0000193e-03,-3.60000e-01,
-1.1205673e-08,-4.00000e-01,
3.9999671e-03,8.40000e-01,
7.9999752e-03,4.00000e-01,
1.1999983e-02,4.80000e-01,
1.5999991e-02,4.40000e-01,
1.9999970e-02,5.60000e-01,
2.3999978e-02,5.20000e-01,
2.7999986e-02,6.00000e-01,
3.1999994e-02,6.40000e-01,
3.5999972e-02,5.20000e-01,
3.9999980e-02,6.00000e-01,
4.3999989e-02,5.20000e-01,
4.7999967e-02,7.20000e-01,
5.1999975e-02,5.20000e-01,
5.5999983e-02,4.40000e-01,
5.9999991e-02,6.80000e-01,
6.3999966e-02,7.20000e-01,
6.7999974e-02,4.80000e-01,
7.1999982e-02,4.80000e-01,
7.5999990e-02,6.40000e-01,
7.9999968e-02,6.80000e-01,
8.3999977e-02,5.60000e-01,
